Location,Building Class,Area (SQM),25th Percentile ($ PSM),Median ($ PSM),75th Percentile ($ PSM),Reference Period
Central Area,Category 1,>500 - 1000,123.04,136.82,141.01,2026Q1
Central Area,Category 1,>1000,117.29,135.38,141.55,2026Q1
Central Area,Category 2,100 & Below,55.36,68.97,84.01,2026Q1
Central Area,Category 2,>100 - 200,60.27,81.30,96.83,2026Q1
Central Area,Category 2,>200 - 500,62.97,88.23,97.18,2026Q1
Central Area,Category 2,>500 - 1000,55.17,83.49,96.90,2026Q1
Central Area,Category 2,>1000,67.01,78.31,97.82,2026Q1
Fringe Area,Category 2,100 & Below,38.46,43.18,50.25,2016Q1
Fringe Area,Category 2,>100 - 200,30.93,44.76,54.80,2016Q1
Fringe Area,Category 2,>200 - 500,32.67,62.42,82.00,2016Q1
Fringe Area,Category 2,>500 - 1000,38.50,50.30,63.16,2016Q1
Fringe Area,Category 2,100 & Below,36.67,43.05,49.38,2016Q2
Fringe Area,Category 2,>100 - 200,40.74,48.41,60.53,2016Q2
Fringe Area,Category 2,>200 - 500,44.04,57.32,76.70,2016Q2
Fringe Area,Category 2,>500 - 1000,37.48,39.83,49.64,2016Q2
Fringe Area,Category 2,>1000,39.95,67.81,77.13,2016Q2
Fringe Area,Category 2,100 & Below,39.52,44.78,52.38,2016Q3
Fringe Area,Category 2,>100 - 200,26.84,44.55,62.91,2016Q3
Fringe Area,Category 2,>200 - 500,36.85,48.36,64.46,2016Q3
Fringe Area,Category 2,>500 - 1000,28.98,40.36,52.10,2016Q3
Fringe Area,Category 2,>1000,28.37,50.19,73.45,2016Q3
Fringe Area,Category 2,100 & Below,37.63,43.25,51.10,2016Q4
Fringe Area,Category 2,>100 - 200,39.96,47.93,58.30,2016Q4
Fringe Area,Category 2,>200 - 500,49.65,55.98,67.93,2016Q4
Fringe Area,Category 2,>500 - 1000,42.49,52.34,66.90,2016Q4
Fringe Area,Category 2,>1000,20.99,49.49,96.00,2016Q4
Fringe Area,Category 2,100 & Below,37.21,44.44,53.18,2017Q1
Fringe Area,Category 2,>100 - 200,27.79,47.62,59.21,2017Q1
Fringe Area,Category 2,>200 - 500,42.94,57.05,75.34,2017Q1
Fringe Area,Category 2,>500 - 1000,50.13,52.74,67.52,2017Q1
Fringe Area,Category 2,>1000,34.71,62.73,73.56,2017Q1
Fringe Area,Category 2,100 & Below,37.91,45.10,52.00,2017Q2
Fringe Area,Category 2,>100 - 200,40.71,50.00,66.75,2017Q2
Fringe Area,Category 2,>200 - 500,47.54,60.28,70.54,2017Q2
Fringe Area,Category 2,>500 - 1000,42.28,55.43,66.46,2017Q2
Fringe Area,Category 2,>1000,49.74,66.74,74.11,2017Q2
Fringe Area,Category 2,100 & Below,37.61,46.00,52.21,2017Q3
Fringe Area,Category 2,>100 - 200,38.54,48.74,66.98,2017Q3
Fringe Area,Category 2,>200 - 500,47.37,58.13,69.97,2017Q3
Fringe Area,Category 2,>500 - 1000,48.63,59.49,74.01,2017Q3
Fringe Area,Category 2,>1000,48.60,65.67,70.78,2017Q3
Fringe Area,Category 2,100 & Below,36.60,46.29,53.57,2017Q4
Fringe Area,Category 2,>100 - 200,38.54,49.19,63.72,2017Q4
Fringe Area,Category 2,>200 - 500,48.41,65.67,73.19,2017Q4
Fringe Area,Category 2,>500 - 1000,39.70,53.67,72.12,2017Q4
Fringe Area,Category 2,>1000,64.39,71.16,76.66,2017Q4
Fringe Area,Category 2,100 & Below,36.47,47.50,53.73,2018Q1
Fringe Area,Category 2,>100 - 200,39.70,50.50,67.81,2018Q1
Fringe Area,Category 2,>200 - 500,37.73,58.37,69.49,2018Q1
Fringe Area,Category 2,>500 - 1000,56.11,58.66,68.00,2018Q1
Fringe Area,Category 2,>1000,35.95,67.80,69.82,2018Q1
Fringe Area,Category 2,100 & Below,37.30,48.11,54.93,2018Q2
Fringe Area,Category 2,>100 - 200,37.28,50.06,61.72,2018Q2
Fringe Area,Category 2,>200 - 500,48.23,73.18,80.75,2018Q2
Fringe Area,Category 2,>500 - 1000,39.30,46.38,66.33,2018Q2
Fringe Area,Category 2,>1000,29.58,57.59,73.76,2018Q2
Fringe Area,Category 2,100 & Below,35.67,42.96,53.26,2018Q3
Fringe Area,Category 2,>100 - 200,40.51,48.44,61.37,2018Q3
Fringe Area,Category 2,>200 - 500,48.90,59.98,70.01,2018Q3
Fringe Area,Category 2,>500 - 1000,40.22,58.25,69.77,2018Q3
Fringe Area,Category 2,>1000,68.27,73.20,78.58,2018Q3
Fringe Area,Category 2,100 & Below,36.38,46.51,54.95,2018Q4
Fringe Area,Category 2,>100 - 200,43.03,49.07,62.43,2018Q4
Fringe Area,Category 2,>200 - 500,47.40,68.89,77.49,2018Q4
Fringe Area,Category 2,>500 - 1000,42.37,56.99,69.42,2018Q4
Fringe Area,Category 2,>1000,41.31,73.20,83.96,2018Q4
Fringe Area,Category 2,100 & Below,35.98,47.29,56.38,2019Q1
Fringe Area,Category 2,>100 - 200,34.99,51.16,62.43,2019Q1
Fringe Area,Category 2,>200 - 500,43.06,56.00,73.14,2019Q1
Fringe Area,Category 2,>500 - 1000,59.49,64.58,70.55,2019Q1
Fringe Area,Category 2,>1000,56.02,79.36,84.50,2019Q1
Fringe Area,Category 2,100 & Below,36.00,46.12,55.56,2019Q2
Fringe Area,Category 2,>100 - 200,42.81,49.33,61.03,2019Q2
Fringe Area,Category 2,>200 - 500,44.34,61.35,71.81,2019Q2
Fringe Area,Category 2,>500 - 1000,50.17,78.55,86.11,2019Q2
Fringe Area,Category 2,>1000,82.88,89.34,97.41,2019Q2
Fringe Area,Category 2,100 & Below,34.47,43.75,53.76,2019Q3
Fringe Area,Category 2,>100 - 200,29.12,47.60,62.61,2019Q3
Fringe Area,Category 2,>200 - 500,48.21,68.89,75.35,2019Q3
Fringe Area,Category 2,>500 - 1000,25.23,31.52,68.89,2019Q3
Fringe Area,Category 2,>1000,33.11,62.44,73.13,2019Q3
Fringe Area,Category 2,100 & Below,36.59,48.53,56.86,2019Q4
Fringe Area,Category 2,>100 - 200,37.54,46.77,60.05,2019Q4
Fringe Area,Category 2,>200 - 500,66.53,77.96,86.11,2019Q4
Fringe Area,Category 2,>500 - 1000,54.07,71.05,76.42,2019Q4
Fringe Area,Category 2,>1000,19.24,27.52,77.50,2019Q4
Fringe Area,Category 2,100 & Below,36.52,48.51,56.85,2020Q1
Fringe Area,Category 2,>100 - 200,28.25,45.51,61.86,2020Q1
Fringe Area,Category 2,>200 - 500,42.49,59.21,73.20,2020Q1
Fringe Area,Category 2,>500 - 1000,44.46,50.75,77.68,2020Q1
Fringe Area,Category 2,>1000,19.24,27.82,75.99,2020Q1
Fringe Area,Category 2,100 & Below,35.92,45.34,55.16,2020Q2
Fringe Area,Category 2,>100 - 200,39.08,45.36,62.42,2020Q2
Fringe Area,Category 2,>200 - 500,35.59,59.76,66.90,2020Q2
Fringe Area,Category 2,>500 - 1000,43.27,54.31,62.78,2020Q2
Fringe Area,Category 2,>1000,26.48,57.44,69.17,2020Q2
Fringe Area,Category 2,100 & Below,35.24,42.06,50.00,2020Q3
Fringe Area,Category 2,>100 - 200,23.21,34.55,53.29,2020Q3
Fringe Area,Category 2,>200 - 500,29.04,62.43,73.20,2020Q3
Fringe Area,Category 2,>500 - 1000,25.56,40.37,58.19,2020Q3
Fringe Area,Category 2,>1000,16.52,68.30,75.35,2020Q3
Fringe Area,Category 2,100 & Below,35.19,45.00,52.38,2020Q4
Fringe Area,Category 2,>100 - 200,28.57,40.63,58.94,2020Q4
Fringe Area,Category 2,>200 - 500,32.56,46.62,64.38,2020Q4
Fringe Area,Category 2,>500 - 1000,19.24,42.44,66.62,2020Q4
Fringe Area,Category 2,>1000,49.51,68.89,84.07,2020Q4
Fringe Area,Category 2,100 & Below,36.71,47.83,54.83,2021Q1
Fringe Area,Category 2,>100 - 200,34.97,49.06,59.80,2021Q1
Fringe Area,Category 2,>200 - 500,53.96,64.58,69.97,2021Q1
Fringe Area,Category 2,>500 - 1000,37.27,60.63,72.46,2021Q1
Fringe Area,Category 2,>1000,26.65,75.35,83.40,2021Q1
Fringe Area,Category 2,100 & Below,38.89,48.21,54.17,2021Q2
Fringe Area,Category 2,>100 - 200,34.91,48.88,61.36,2021Q2
Fringe Area,Category 2,>200 - 500,35.30,61.18,73.20,2021Q2
Fringe Area,Category 2,>500 - 1000,48.36,69.84,81.27,2021Q2
Fringe Area,Category 2,>1000,36.17,72.76,74.94,2021Q2
Fringe Area,Category 2,100 & Below,36.60,45.65,53.94,2021Q3
Fringe Area,Category 2,>100 - 200,35.53,52.36,62.24,2021Q3
Fringe Area,Category 2,>200 - 500,41.06,52.74,63.85,2021Q3
Fringe Area,Category 2,>500 - 1000,43.98,64.59,85.06,2021Q3
Fringe Area,Category 2,>1000,44.32,59.89,67.17,2021Q3
Fringe Area,Category 2,100 & Below,35.89,46.15,54.05,2021Q4
Fringe Area,Category 2,>100 - 200,34.99,44.67,52.36,2021Q4
Fringe Area,Category 2,>200 - 500,39.88,60.54,77.29,2021Q4
Fringe Area,Category 2,>500 - 1000,31.00,51.15,73.22,2021Q4
Fringe Area,Category 2,>1000,31.39,77.64,82.20,2021Q4
Fringe Area,Category 2,100 & Below,39.74,50.00,57.84,2022Q1
Fringe Area,Category 2,>100 - 200,30.09,45.22,61.31,2022Q1
Fringe Area,Category 2,>200 - 500,60.28,68.89,79.13,2022Q1
Fringe Area,Category 2,>500 - 1000,59.37,74.23,75.35,2022Q1
Fringe Area,Category 2,>1000,39.96,68.37,75.26,2022Q1
Fringe Area,Category 2,100 & Below,38.44,49.32,57.05,2022Q2
Fringe Area,Category 2,>100 - 200,36.08,50.80,58.66,2022Q2
Fringe Area,Category 2,>200 - 500,49.50,60.85,75.35,2022Q2
Fringe Area,Category 2,>500 - 1000,50.44,59.32,66.48,2022Q2
Fringe Area,Category 2,>1000,67.90,84.51,87.11,2022Q2
Fringe Area,Category 2,100 & Below,38.80,49.31,57.78,2022Q3
Fringe Area,Category 2,>100 - 200,39.32,52.83,69.95,2022Q3
Fringe Area,Category 2,>200 - 500,49.11,67.13,76.62,2022Q3
Fringe Area,Category 2,>500 - 1000,52.30,70.00,86.13,2022Q3
Fringe Area,Category 2,>1000,51.69,72.51,73.84,2022Q3
Fringe Area,Category 2,100 & Below,39.64,54.88,63.57,2022Q4
Fringe Area,Category 2,>100 - 200,33.87,48.62,69.44,2022Q4
Fringe Area,Category 2,>200 - 500,57.08,71.97,82.13,2022Q4
Fringe Area,Category 2,>500 - 1000,60.80,72.12,79.32,2022Q4
Fringe Area,Category 2,>1000,25.04,52.64,79.26,2022Q4
Fringe Area,Category 2,100 & Below,40.34,54.43,65.59,2023Q1
Fringe Area,Category 2,>100 - 200,45.60,61.35,72.54,2023Q1
Fringe Area,Category 2,>200 - 500,38.70,67.39,74.41,2023Q1
Fringe Area,Category 2,>500 - 1000,16.84,61.34,75.86,2023Q1
Fringe Area,Category 2,>1000,15.42,73.41,80.32,2023Q1
Fringe Area,Category 2,100 & Below,45.92,58.82,68.89,2023Q2
Fringe Area,Category 2,>100 - 200,43.81,55.63,71.99,2023Q2
Fringe Area,Category 2,>200 - 500,62.03,73.73,81.88,2023Q2
Fringe Area,Category 2,>500 - 1000,63.84,68.16,72.94,2023Q2
Fringe Area,Category 2,>1000,57.52,83.72,94.99,2023Q2
Fringe Area,Category 2,100 & Below,45.08,58.48,69.66,2023Q3
Fringe Area,Category 2,>100 - 200,40.91,51.07,69.27,2023Q3
Fringe Area,Category 2,>200 - 500,51.62,69.97,85.26,2023Q3
Fringe Area,Category 2,>500 - 1000,66.42,69.11,79.99,2023Q3
Fringe Area,Category 2,>1000,45.67,80.96,90.42,2023Q3
Fringe Area,Category 2,100 & Below,43.49,57.65,70.65,2023Q4
Fringe Area,Category 2,>100 - 200,42.55,60.81,73.13,2023Q4
Fringe Area,Category 2,>200 - 500,58.14,73.46,83.39,2023Q4
Fringe Area,Category 2,>500 - 1000,53.47,73.20,86.92,2023Q4
Fringe Area,Category 2,>1000,78.55,92.57,95.26,2023Q4
Fringe Area,Category 2,100 & Below,41.04,57.00,72.73,2024Q1
Fringe Area,Category 2,>100 - 200,43.53,55.67,69.29,2024Q1
Fringe Area,Category 2,>200 - 500,67.54,82.06,88.10,2024Q1
Fringe Area,Category 2,>500 - 1000,76.66,80.06,90.41,2024Q1
Fringe Area,Category 2,>1000,87.80,93.65,238.91,2024Q1
Fringe Area,Category 2,100 & Below,46.55,62.50,73.71,2024Q2
Fringe Area,Category 2,>100 - 200,34.17,47.89,66.74,2024Q2
Fringe Area,Category 2,>200 - 500,64.60,71.86,77.09,2024Q2
Fringe Area,Category 2,>500 - 1000,62.72,68.89,75.49,2024Q2
Fringe Area,Category 2,>1000,66.47,85.60,88.94,2024Q2
Fringe Area,Category 2,100 & Below,46.15,60.53,72.89,2024Q3
Fringe Area,Category 2,>100 - 200,49.58,69.93,75.33,2024Q3
Fringe Area,Category 2,>200 - 500,61.23,72.53,84.18,2024Q3
Fringe Area,Category 2,>500 - 1000,69.30,78.58,83.15,2024Q3
Fringe Area,Category 2,>1000,86.12,91.50,102.58,2024Q3
Fringe Area,Category 2,100 & Below,47.89,61.31,70.91,2024Q4
Fringe Area,Category 2,>100 - 200,49.54,71.29,75.34,2024Q4
Fringe Area,Category 2,>200 - 500,68.22,75.89,86.39,2024Q4
Fringe Area,Category 2,>500 - 1000,58.15,71.60,83.47,2024Q4
Fringe Area,Category 2,>1000,44.92,74.28,94.51,2024Q4
Fringe Area,Category 2,100 & Below,48.60,61.32,73.32,2025Q1
Fringe Area,Category 2,>100 - 200,44.40,67.88,75.36,2025Q1
Fringe Area,Category 2,>200 - 500,68.34,75.07,88.89,2025Q1
Fringe Area,Category 2,>500 - 1000,73.19,73.37,77.83,2025Q1
Fringe Area,Category 2,100 & Below,48.87,61.23,73.33,2025Q2
Fringe Area,Category 2,>100 - 200,45.98,65.97,78.60,2025Q2
Fringe Area,Category 2,>200 - 500,57.01,75.34,81.00,2025Q2
Fringe Area,Category 2,>500 - 1000,65.28,76.42,86.12,2025Q2
Fringe Area,Category 2,100 & Below,50.00,64.00,73.88,2025Q3
Fringe Area,Category 2,>100 - 200,47.35,62.29,75.34,2025Q3
Fringe Area,Category 2,>200 - 500,62.87,79.70,86.29,2025Q3
Fringe Area,Category 2,>500 - 1000,45.40,71.56,93.11,2025Q3
Fringe Area,Category 2,>1000,42.25,74.27,91.49,2025Q3
Fringe Area,Category 2,100 & Below,48.16,57.98,69.24,2025Q4
Fringe Area,Category 2,>100 - 200,48.37,69.84,77.87,2025Q4
Fringe Area,Category 2,>200 - 500,59.72,76.91,88.80,2025Q4
Fringe Area,Category 2,>500 - 1000,56.97,72.92,76.15,2025Q4
Fringe Area,Category 2,>1000,73.20,73.20,94.77,2025Q4
Fringe Area,Category 2,100 & Below,48.67,59.58,73.08,2026Q1
Fringe Area,Category 2,>100 - 200,51.78,73.20,80.04,2026Q1
Fringe Area,Category 2,>200 - 500,78.58,85.57,93.90,2026Q1
Fringe Area,Category 2,>500 - 1000,49.25,77.89,80.27,2026Q1
Fringe Area,Category 2,>1000,31.69,58.57,85.79,2026Q1
Outside Central Region,Category 2,100 & Below,58.00,66.25,69.49,2017Q1
Outside Central Region,Category 2,100 & Below,43.12,45.83,52.56,2017Q2
Outside Central Region,Category 2,>100 - 200,25.46,47.90,54.37,2017Q2
Outside Central Region,Category 2,>200 - 500,54.36,59.74,66.55,2017Q2
Outside Central Region,Category 2,100 & Below,38.46,48.78,50.00,2017Q3
Outside Central Region,Category 2,>100 - 200,55.97,62.43,67.81,2017Q3
Outside Central Region,Category 2,100 & Below,35.57,46.29,51.65,2017Q4
Outside Central Region,Category 2,>100 - 200,42.64,50.59,52.75,2017Q4
Outside Central Region,Category 2,>200 - 500,58.12,66.82,98.00,2017Q4
Outside Central Region,Category 2,>500 - 1000,54.79,56.98,60.28,2017Q4
Outside Central Region,Category 2,100 & Below,32.51,37.50,42.38,2018Q1
Outside Central Region,Category 2,>100 - 200,41.81,50.86,52.48,2018Q1
Outside Central Region,Category 2,>200 - 500,58.39,59.20,61.09,2018Q1
Outside Central Region,Category 2,100 & Below,35.21,41.67,49.24,2018Q2
Outside Central Region,Category 2,>100 - 200,41.23,53.83,67.95,2018Q2
Outside Central Region,Category 2,>200 - 500,52.20,58.68,67.69,2018Q2
Outside Central Region,Category 2,100 & Below,34.13,36.02,39.58,2018Q3
Outside Central Region,Category 2,>100 - 200,36.21,41.28,48.42,2018Q3
Outside Central Region,Category 2,>500 - 1000,50.05,53.28,59.60,2018Q3
Outside Central Region,Category 2,100 & Below,35.29,37.50,51.06,2018Q4
Outside Central Region,Category 2,>100 - 200,38.76,48.43,55.97,2018Q4
Outside Central Region,Category 2,>200 - 500,59.20,62.42,68.89,2018Q4
Outside Central Region,Category 2,>500 - 1000,25.55,40.46,54.76,2018Q4
Outside Central Region,Category 2,100 & Below,35.40,37.50,46.34,2019Q1
Outside Central Region,Category 2,>100 - 200,39.77,54.36,55.96,2019Q1
Outside Central Region,Category 2,>200 - 500,53.82,56.24,65.04,2019Q1
Outside Central Region,Category 2,100 & Below,37.50,41.67,43.75,2019Q2
Outside Central Region,Category 2,>100 - 200,42.26,53.28,54.48,2019Q2
Outside Central Region,Category 2,100 & Below,36.47,42.71,52.95,2019Q3
Outside Central Region,Category 2,>100 - 200,44.12,55.97,69.96,2019Q3
Outside Central Region,Category 2,>200 - 500,58.67,64.96,80.46,2019Q3
Outside Central Region,Category 2,>500 - 1000,56.69,59.56,62.43,2019Q3
Outside Central Region,Category 2,100 & Below,40.03,41.67,50.30,2019Q4
Outside Central Region,Category 2,>100 - 200,44.38,45.71,47.03,2019Q4
Outside Central Region,Category 2,>200 - 500,53.73,56.89,61.36,2019Q4
Outside Central Region,Category 2,>1000,61.99,66.30,70.61,2019Q4
Outside Central Region,Category 2,100 & Below,38.94,42.25,51.80,2020Q1
Outside Central Region,Category 2,>100 - 200,47.35,51.67,53.87,2020Q1
Outside Central Region,Category 2,>200 - 500,50.58,59.20,69.96,2020Q1
Outside Central Region,Category 2,>500 - 1000,60.82,60.82,60.82,2020Q1
Outside Central Region,Category 2,>1000,40.34,57.47,65.79,2020Q1
Outside Central Region,Category 2,100 & Below,38.54,52.47,71.26,2020Q2
Outside Central Region,Category 2,>100 - 200,34.15,45.15,50.84,2020Q2
Outside Central Region,Category 2,>200 - 500,25.83,25.83,25.83,2020Q2
Outside Central Region,Category 2,>500 - 1000,43.59,53.48,58.12,2020Q2
Outside Central Region,Category 2,>1000,60.48,63.29,66.09,2020Q2
Outside Central Region,Category 2,100 & Below,34.20,38.73,41.67,2020Q3
Outside Central Region,Category 2,>100 - 200,46.02,56.50,69.95,2020Q3
Outside Central Region,Category 2,>200 - 500,51.67,53.82,55.97,2020Q3
Outside Central Region,Category 2,>500 - 1000,30.84,75.24,75.35,2020Q3
Outside Central Region,Category 2,>1000,69.54,88.49,107.44,2020Q3
Outside Central Region,Category 2,100 & Below,34.62,39.58,51.25,2020Q4
Outside Central Region,Category 2,>100 - 200,38.76,40.98,57.02,2020Q4
Outside Central Region,Category 2,>200 - 500,42.52,50.60,68.36,2020Q4
Outside Central Region,Category 2,>500 - 1000,59.20,59.20,59.20,2020Q4
Outside Central Region,Category 2,>1000,110.75,110.75,110.75,2020Q4
Outside Central Region,Category 2,100 & Below,36.20,39.58,46.88,2021Q1
Outside Central Region,Category 2,>100 - 200,44.13,48.44,53.81,2021Q1
Outside Central Region,Category 2,>200 - 500,55.97,57.59,62.43,2021Q1
Outside Central Region,Category 2,>500 - 1000,52.34,54.09,55.84,2021Q1
Outside Central Region,Category 2,>1000,58.65,58.65,58.65,2021Q1
Outside Central Region,Category 2,100 & Below,37.02,40.24,43.75,2021Q2
Outside Central Region,Category 2,>100 - 200,39.89,51.68,54.35,2021Q2
Outside Central Region,Category 2,>200 - 500,54.36,55.96,55.97,2021Q2
Outside Central Region,Category 2,>500 - 1000,55.91,64.54,72.50,2021Q2
Outside Central Region,Category 2,>1000,14.73,15.98,17.22,2021Q2
Outside Central Region,Category 2,100 & Below,35.08,38.77,41.67,2021Q3
Outside Central Region,Category 2,>100 - 200,32.14,43.18,47.04,2021Q3
Outside Central Region,Category 2,>200 - 500,32.29,43.06,48.44,2021Q3
Outside Central Region,Category 2,>500 - 1000,23.28,27.67,49.36,2021Q3
Outside Central Region,Category 2,100 & Below,36.42,41.60,48.18,2021Q4
Outside Central Region,Category 2,>100 - 200,38.86,48.40,51.64,2021Q4
Outside Central Region,Category 2,>200 - 500,49.52,57.05,62.42,2021Q4
Outside Central Region,Category 2,>500 - 1000,51.76,53.82,74.89,2021Q4
Outside Central Region,Category 2,>1000,40.54,47.77,54.99,2021Q4
Outside Central Region,Category 2,100 & Below,38.89,45.83,49.54,2022Q1
Outside Central Region,Category 2,>100 - 200,48.57,50.64,55.52,2022Q1
Outside Central Region,Category 2,>200 - 500,51.66,55.42,59.20,2022Q1
Outside Central Region,Category 2,>500 - 1000,57.67,61.35,111.87,2022Q1
Outside Central Region,Category 2,>1000,13.30,13.30,13.30,2022Q1
Outside Central Region,Category 2,100 & Below,41.67,45.83,49.88,2022Q2
Outside Central Region,Category 2,>100 - 200,39.32,48.87,53.54,2022Q2
Outside Central Region,Category 2,>200 - 500,56.29,58.93,72.12,2022Q2
Outside Central Region,Category 2,>500 - 1000,86.11,86.11,86.11,2022Q2
Outside Central Region,Category 2,>1000,78.04,81.81,87.78,2022Q2
Outside Central Region,Category 2,100 & Below,42.25,47.34,50.62,2022Q3
Outside Central Region,Category 2,>100 - 200,41.97,48.81,54.64,2022Q3
Outside Central Region,Category 2,>200 - 500,50.76,58.13,65.67,2022Q3
Outside Central Region,Category 2,>500 - 1000,56.63,62.92,69.32,2022Q3
Outside Central Region,Category 2,>1000,49.57,61.37,63.49,2022Q3
Outside Central Region,Category 2,100 & Below,39.00,47.92,50.85,2022Q4
Outside Central Region,Category 2,>100 - 200,45.62,51.13,65.66,2022Q4
Outside Central Region,Category 2,>200 - 500,49.54,53.50,64.60,2022Q4
Outside Central Region,Category 2,>500 - 1000,66.02,85.04,85.04,2022Q4
Outside Central Region,Category 2,>1000,42.59,54.86,58.61,2022Q4
Outside Central Region,Category 2,100 & Below,47.88,50.00,56.34,2023Q1
Outside Central Region,Category 2,>100 - 200,48.96,50.64,69.95,2023Q1
Outside Central Region,Category 2,>200 - 500,57.05,68.35,86.65,2023Q1
Outside Central Region,Category 2,>500 - 1000,55.16,57.58,60.01,2023Q1
Outside Central Region,Category 2,>1000,34.95,40.63,46.30,2023Q1
Outside Central Region,Category 2,100 & Below,45.83,49.54,55.67,2023Q2
Outside Central Region,Category 2,>100 - 200,47.45,53.29,55.91,2023Q2
Outside Central Region,Category 2,>200 - 500,52.75,59.20,69.61,2023Q2
Outside Central Region,Category 2,>500 - 1000,56.52,57.04,159.91,2023Q2
Outside Central Region,Category 2,>1000,62.43,65.66,92.03,2023Q2
Outside Central Region,Category 2,100 & Below,46.26,49.51,52.08,2023Q3
Outside Central Region,Category 2,>100 - 200,46.30,49.52,54.69,2023Q3
Outside Central Region,Category 2,>200 - 500,52.76,55.98,68.08,2023Q3
Outside Central Region,Category 2,>500 - 1000,50.59,50.59,50.59,2023Q3
Outside Central Region,Category 2,>1000,111.00,111.00,111.00,2023Q3
Outside Central Region,Category 2,100 & Below,47.61,50.99,54.30,2023Q4
Outside Central Region,Category 2,>100 - 200,46.83,49.54,53.82,2023Q4
Outside Central Region,Category 2,>200 - 500,67.17,77.50,89.68,2023Q4
Outside Central Region,Category 2,>500 - 1000,76.42,79.01,95.79,2023Q4
Outside Central Region,Category 2,>1000,54.76,73.75,98.97,2023Q4
Outside Central Region,Category 2,100 & Below,46.23,50.31,53.93,2024Q1
Outside Central Region,Category 2,>100 - 200,47.89,52.21,54.64,2024Q1
Outside Central Region,Category 2,>200 - 500,55.71,58.93,83.81,2024Q1
Outside Central Region,Category 2,>500 - 1000,66.11,66.55,75.58,2024Q1
Outside Central Region,Category 2,>1000,46.73,60.04,73.34,2024Q1
Outside Central Region,Category 2,100 & Below,48.85,53.59,64.71,2024Q2
Outside Central Region,Category 2,>100 - 200,49.78,54.48,58.94,2024Q2
Outside Central Region,Category 2,>200 - 500,57.49,59.19,178.03,2024Q2
Outside Central Region,Category 2,>500 - 1000,12.75,12.75,12.75,2024Q2
Outside Central Region,Category 2,100 & Below,48.31,53.79,58.16,2024Q3
Outside Central Region,Category 2,>100 - 200,51.81,57.07,62.44,2024Q3
Outside Central Region,Category 2,>200 - 500,55.44,66.36,81.48,2024Q3
Outside Central Region,Category 2,>500 - 1000,57.08,57.08,57.08,2024Q3
Outside Central Region,Category 2,>1000,65.12,65.12,65.12,2024Q3
Outside Central Region,Category 2,100 & Below,53.12,57.92,63.53,2024Q4
Outside Central Region,Category 2,>100 - 200,46.00,53.03,62.97,2024Q4
Outside Central Region,Category 2,>200 - 500,51.95,67.06,100.97,2024Q4
Outside Central Region,Category 2,>500 - 1000,58.13,67.81,85.57,2024Q4
Outside Central Region,Category 2,>1000,89.34,89.34,89.34,2024Q4
Outside Central Region,Category 2,100 & Below,51.92,57.90,64.08,2025Q1
Outside Central Region,Category 2,>100 - 200,53.81,58.11,62.44,2025Q1
Outside Central Region,Category 2,>200 - 500,59.74,61.36,87.99,2025Q1
Outside Central Region,Category 2,>500 - 1000,73.33,82.78,97.30,2025Q1
Outside Central Region,Category 2,>1000,28.35,37.06,45.86,2025Q1
Outside Central Region,Category 2,100 & Below,52.08,56.00,64.65,2025Q2
Outside Central Region,Category 2,>100 - 200,50.96,57.05,64.59,2025Q2
Outside Central Region,Category 2,>200 - 500,57.18,64.32,84.63,2025Q2
Outside Central Region,Category 2,>500 - 1000,74.94,81.70,87.89,2025Q2
Outside Central Region,Category 2,>1000,32.35,36.87,41.38,2025Q2
Outside Central Region,Category 2,100 & Below,51.97,57.19,63.28,2025Q3
Outside Central Region,Category 2,>100 - 200,49.80,59.21,66.19,2025Q3
Outside Central Region,Category 2,>200 - 500,57.05,61.67,83.96,2025Q3
Outside Central Region,Category 2,>500 - 1000,45.21,60.28,80.73,2025Q3
Outside Central Region,Category 2,>1000,82.36,94.75,107.14,2025Q3
Outside Central Region,Category 2,100 & Below,53.82,57.08,60.45,2025Q4
Outside Central Region,Category 2,>100 - 200,50.58,53.92,58.14,2025Q4
Outside Central Region,Category 2,>200 - 500,56.53,62.43,90.15,2025Q4
Outside Central Region,Category 2,>500 - 1000,73.38,75.72,82.53,2025Q4
Outside Central Region,Category 2,>1000,44.27,44.70,58.36,2025Q4
Outside Central Region,Category 2,100 & Below,49.26,56.25,59.50,2026Q1
Outside Central Region,Category 2,>100 - 200,52.41,56.66,62.97,2026Q1
Outside Central Region,Category 2,>200 - 500,58.93,63.50,66.47,2026Q1
Outside Central Region,Category 2,>500 - 1000,57.59,63.84,73.97,2026Q1
Overall,-,-,48.44,63.95,86.11,-
